City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,busselton,-33.65,115.3333,20.98,40,0,4.87,AU,1670292558
84,port hardy,50.6996,-127.4199,3.71,83,100,1.54,CA,1670292558
85,tiksi,71.6872,128.8694,-26.09,94,100,5.08,RU,1670292559
86,cheyenne,41.14,-104.8203,3.32,58,100,7.6,US,1670292559
87,ribeira grande,38.5167,-28.7,15.99,86,100,8.49,PT,1670292560
88,port alfred,-33.5906,26.891,13.43,94,100,1.34,ZA,1670292560
89,kangaatsiaq,68.3065,-53.4641,-5.39,86,85,4.03,GL,1670292561
90,tuktoyaktuk,69.4541,-133.0374,-26.52,81,17,9.6,CA,1670292561
91,aransas pass,27.9095,-97.15,22.21,91,0,5.81,US,1670292562
92,superior,46.7208,-92.1041,-8.5,67,0,5.66,US,1670292563
93,paraiso,9.8383,-83.8656,18.29,86,97,1.6,CR,1670292563
94,saint-philippe,-21.3585,55.7679,23.77,85,98,4.63,RE,1670292564
95,tautira,-17.7333,-149.15,26.28,74,17,6.65,PF,1670292564
96,veraval,20.9,70.3667,20.93,44,0,5.15,IN,1670292564
97,guasdualito,7.2424,-70.7324,24.98,88,20,1.03,VE,1670292565
98,georgetown,5.4112,100.3354,28.96,82,20,1.54,MY,1670292565
99,acapulco,16.8634,-99.8901,26.9,83,20,1.54,MX,1670292566
100,bluff,-46.6,168.3333,10.45,56,9,4.26,NZ,1670292506
101,tosya,41.0155,34.0401,4.36,74,97,0.07,TR,1670292566
102,imbituba,-28.24,-48.6703,24.92,97,67,3.28,BR,1670292567
103,qaqortoq,60.7167,-46.0333,-0.25,73,100,5.18,GL,1670292567
104,banda aceh,5.5577,95.3222,25.83,79,98,2.05,ID,1670292364
105,deputatskiy,69.3,139.9,-34.44,96,100,0.85,RU,1670292568
106,yellowknife,62.456,-114.3525,-34.69,73,14,4.47,CA,1670292568
107,pacific grove,36.6177,-121.9166,12.28,89,0,3.13,US,1670292569
108,santa rosalia,27.3167,-112.2833,20.01,57,98,0.49,MX,1670292569
109,puerto del rosario,28.5004,-13.8627,17.86,82,20,2.57,ES,1670292100
110,kota belud,6.351,116.4305,29.03,67,49,1.15,MY,1670292570
111,waingapu,-9.6567,120.2641,29.87,61,100,2.65,ID,1670292571
112,skjervoy,70.0311,20.9714,-1.0,82,100,12.9,NO,1670292571
113,port blair,11.6667,92.75,27.7,82,86,9.41,IN,1670292572
114,verkhnyaya inta,65.9811,60.3094,-17.25,97,52,2.93,RU,1670292572
115,cabo san lucas,22.8909,-109.9124,25.84,72,0,5.14,MX,1670292573
116,pangody,65.85,74.4859,-17.21,97,28,3.44,RU,1670292573
117,ponta do sol,32.6667,-17.1,18.73,74,100,0.81,PT,1670292573
118,norman wells,65.282,-126.8329,-29.11,89,56,5.17,CA,1670292574
119,daokou,35.5639,114.5058,4.85,43,100,1.77,CN,1670292574
120,beringovskiy,63.05,179.3167,-2.78,70,75,10.63,RU,1670292575
121,milkovo,54.7167,158.6167,-8.39,74,25,6.04,RU,1670292575
122,usinsk,65.9939,57.5281,-15.96,92,64,7.33,RU,1670292576
123,buraydah,26.326,43.975,15.63,78,69,4.47,SA,1670292576
124,komsomolskiy,40.4272,71.7189,-1.6,80,75,2.06,UZ,1670292577
125,cockburn town,21.4612,-71.1419,25.96,60,1,8.42,TC,1670292577
126,bouillante,16.1304,-61.7692,22.57,77,58,4.19,GP,1670292578
127,katobu,-4.9408,122.5276,30.09,64,100,1.54,ID,1670292578
128,olinda,-8.0089,-34.8553,26.85,74,75,2.57,BR,1670292268
129,black river,18.0264,-77.8487,22.74,79,0,3.39,JM,1670292579
130,port-gentil,-0.7193,8.7815,27.2,78,100,3.58,GA,1670292579
131,mosquera,4.7059,-74.2302,12.05,87,40,2.06,CO,1670292580
132,kloulklubed,7.0419,134.2556,28.2,77,100,5.51,PW,1670292580
133,ventersburg,-28.0856,27.1381,12.45,27,0,2.13,ZA,1670292580
134,yarada,17.65,83.2667,21.18,94,83,3.09,IN,1670292581
135,palmer,42.1584,-72.3287,4.23,86,75,1.54,US,1670292581
136,caceres,39.522,-6.3748,10.42,97,100,1.85,ES,1670292582
137,gizo,-8.103,156.8419,29.22,70,100,4.75,SB,1670292582
138,campbell river,50.0163,-125.2446,1.81,100,75,1.54,CA,1670292583
139,virginia beach,36.8529,-75.978,10.01,70,75,1.54,US,1670292203
140,lorengau,-2.0226,147.2712,27.12,83,99,4.07,PG,1670292583
141,paralimni,35.0375,33.9833,13.97,84,6,3.13,CY,1670292584
142,san policarpo,12.1791,125.5072,27.6,80,100,4.4,PH,1670292584
143,magadan,59.5667,150.8,-21.33,82,27,3.04,RU,1670292585
144,kodiak,57.79,-152.4072,0.73,100,100,2.57,US,1670292585
145,krasnovishersk,60.4078,57.082,-15.76,98,99,1.38,RU,1670292585
146,davila,18.4726,120.5763,27.47,75,23,10.01,PH,1670292586
147,westport,41.1415,-73.3579,5.67,83,40,1.54,US,1670292423
148,hof,50.3167,11.9167,2.47,72,75,4.47,DE,1670292586
149,bengkulu,-3.8004,102.2655,26.69,77,100,0.58,ID,1670292587
150,valparaiso,-33.0393,-71.6273,14.8,82,0,1.54,CL,1670292395
151,kavaratti,10.5669,72.642,27.8,67,91,1.84,IN,1670292588
152,ningyang,35.7642,116.7914,3.93,39,50,1.64,CN,1670292358
153,ayan,56.45,138.1667,-13.07,64,100,4.26,RU,1670292589
154,muroran,42.3172,140.9881,2.35,56,88,5.28,JP,1670292589
155,katherine,-14.4667,132.2667,33.18,46,100,4.12,AU,1670292589
156,goulburn,-34.75,149.7167,20.7,41,49,1.75,AU,1670292590
157,havre-saint-pierre,50.2334,-63.5986,1.54,74,22,9.77,CA,1670292590
158,victoria,22.2855,114.1577,16.29,76,100,5.36,HK,1670292359
159,huarmey,-10.0681,-78.1522,19.0,86,43,3.21,PE,1670292591
160,inuvik,68.3499,-133.7218,-23.94,77,99,6.39,CA,1670292592
161,tachov,49.7953,12.6337,2.26,99,100,2.68,CZ,1670292592
162,sungai padi,6.0851,101.8766,28.82,87,96,1.16,TH,1670292593
163,okato,-39.2,173.8833,19.95,100,100,3.31,NZ,1670292593
164,new norfolk,-42.7826,147.0587,16.62,44,48,1.79,AU,1670292593
165,tailai,46.3833,123.4,-10.46,62,9,6.18,CN,1670292594
166,tilichiki,60.4667,166.1,-15.06,87,79,4.25,RU,1670292594
167,vila,42.0304,-8.1588,4.49,92,88,1.09,PT,1670292595
168,west plains,36.7281,-91.8524,7.76,88,100,0.45,US,1670292595
169,lodingen,68.414,15.9951,1.08,89,100,4.23,NO,1670292595
170,kavarna,43.4333,28.3333,6.6,96,100,2.82,BG,1670292596
171,ulladulla,-35.35,150.4667,17.55,70,81,3.01,AU,1670292596
172,qaanaaq,77.484,-69.3632,0.54,71,100,6.41,GL,1670292597
173,touros,-5.1989,-35.4608,25.84,73,0,5.8,BR,1670292598
174,tual,-5.6667,132.75,28.29,70,94,3.6,ID,1670292598
175,saint marys,30.7305,-81.5465,19.01,95,0,0.0,US,1670292519
176,comodoro rivadavia,-45.8667,-67.5,17.92,34,0,12.35,AR,1670292452
177,asau,46.4333,26.4,-1.49,98,100,1.33,RO,1670292599
178,manthani,18.65,79.6667,16.76,61,6,1.59,IN,1670292114
179,union,40.6334,-74.2663,7.16,67,0,0.0,US,1670292600
180,eydhafushi,5.1033,73.0708,26.43,80,100,3.27,MV,1670292600
181,lafayette,30.2335,-92.0668,22.25,92,40,0.89,US,1670292600
182,airai,-8.9266,125.4092,25.21,36,64,1.0,TL,1670292601
183,saint george,37.1041,-113.5841,12.75,68,40,2.06,US,1670292484
184,taltal,-25.4,-70.4833,18.04,79,22,1.25,CL,1670292602
185,ambilobe,-13.2,49.05,22.99,87,3,1.15,MG,1670292602
186,arzgir,45.3728,44.2206,-7.26,50,7,3.93,RU,1670292413
187,mkushi,-13.6202,29.3939,17.28,84,100,1.3,ZM,1670292603
188,korfovskiy,48.2183,135.0564,-11.3,76,24,5.2,RU,1670292603
189,elizabeth city,36.2946,-76.2511,10.01,93,0,1.54,US,1670292604
190,sisimiut,66.9395,-53.6735,1.08,75,100,5.47,GL,1670292604
191,viedma,-40.8135,-62.9967,25.11,44,100,5.37,AR,1670292605
192,sterling,39.0062,-77.4286,4.94,69,0,2.06,US,1670292561
193,chuy,-33.6971,-53.4616,17.61,94,0,2.82,UY,1670292605
194,bud,39.447,-86.1758,6.62,87,100,2.96,US,1670292606
195,udachnyy,66.4167,112.4,-32.84,100,94,2.52,RU,1670292606
196,dubuque,42.4833,-90.8668,2.01,67,100,3.6,US,1670292607
197,isangel,-19.55,169.2667,29.16,71,84,3.56,VU,1670292607
